City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,Colares,38.7992,-9.4469,68.76,96,100,15.99,PT,1697434577
145,Acaraú,-2.8856,-40.12,78.37,81,83,16.96,BR,1697434577
146,Mili,6.0815,171.735,83.64,71,95,6.58,MH,1697434577
147,George Town,5.4112,100.3354,86.95,87,40,4.61,MY,1697434375
148,Badr Ḩunayn,23.7829,38.7905,89.6,38,1,1.97,SA,1697434578
149,Masterton,-40.9597,175.6575,55.89,66,97,6.2,NZ,1697434579
150,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,88,75,11.18,RU,1697434579
151,Badger,64.8,-147.5333,34.81,93,0,4.61,US,1697434579
152,Susuman,62.7833,148.1667,20.98,91,100,3.0,RU,1697434580
153,Aleg,17.0481,-13.9209,86.23,13,0,7.67,MR,1697434580
154,Vila Franca do Campo,37.7167,-25.4333,70.88,99,94,25.48,PT,1697434581
155,Juan Griego,11.0817,-63.9655,84.33,89,16,10.36,VE,1697434581
156,Thompson,55.7435,-97.8558,33.96,100,0,2.3,CA,1697434581
157,Waingapu,-9.6567,120.2641,89.13,49,33,16.96,ID,1697434582
158,Dadukou,26.5479,101.7054,82.44,46,6,1.81,CN,1697434583
159,Port Macquarie,-31.4333,152.9167,77.59,50,89,7.52,AU,1697434360
160,Dudinka,69.4058,86.1778,19.67,91,33,8.01,RU,1697434584
161,Spasskoye,44.6108,132.7969,48.06,35,24,19.3,RU,1697434585
162,Independência,-5.3964,-40.3086,76.96,69,78,7.27,BR,1697434585
163,Basco,20.4487,121.9702,80.73,77,72,14.47,PH,1697434586
164,Mikun',62.3547,50.0771,43.99,83,77,9.69,RU,1697434586
165,Grand Falls-Windsor,48.9332,-55.6649,41.5,93,99,4.5,CA,1697434586
166,Ola,59.5833,151.2833,43.14,62,100,5.91,RU,1697434587
167,Dem'yanovo,60.3511,47.0842,45.3,87,96,8.68,RU,1697434587
168,Haiku-Pauwela,20.9219,-156.3051,78.04,76,40,14.97,US,1697434588
169,Codrington,-38.2667,141.9667,55.45,53,50,17.63,AU,1697434588
170,Kharan,28.5833,65.4167,80.06,29,25,2.42,PK,1697434588
171,Bengkulu,-3.8004,102.2655,82.02,72,37,9.98,ID,1697434589
172,Palikir,6.9248,158.1611,86.74,74,75,4.61,FM,1697434589
173,Vorgashor,67.5833,63.95,31.93,99,100,9.24,RU,1697434590
174,Port Mathurin,-19.6833,63.4167,75.31,82,23,12.44,MU,1697434590
175,Acajutla,13.5928,-89.8275,79.27,84,81,4.25,SV,1697434590
176,Mynämäki,60.7446,22.0243,39.34,66,80,11.52,FI,1697434591
177,Afaahiti,-17.75,-149.2833,78.06,81,64,13.35,PF,1697434591
178,Atafu Village,-8.5421,-172.5159,83.03,78,91,17.78,TK,1697434593
179,Rehoboth,-23.3167,17.0833,62.76,23,0,7.63,NA,1697434495
180,El Calafate,-50.3408,-72.2768,40.1,67,31,8.5,AR,1697434595
181,Kenai,60.5544,-151.2583,45.14,88,0,13.8,US,1697434440
182,Oyama,36.3,139.8,74.35,34,0,3.13,JP,1697434595
183,Tahe,52.3333,124.7333,42.51,30,12,10.4,CN,1697434596
184,Harstad,68.799,16.5293,42.15,98,100,32.01,NO,1697434596
185,Otjiwarongo,-20.4637,16.6477,68.11,13,45,15.73,NA,1697434597
186,Puerto Gaitán,4.3133,-72.0816,72.84,88,99,5.97,CO,1697434597
187,Enriquillo,17.9,-71.2333,79.95,83,53,1.28,DO,1697434597
188,Qaqortoq,60.7167,-46.0333,35.82,94,100,5.41,GL,1697434598
189,El Paraíso,13.8667,-86.55,69.26,94,100,0.38,HN,1697434598
190,Valle de La Pascua,9.2155,-66.0073,71.82,97,71,4.59,VE,1697434599
191,Cabo San Lucas,22.8909,-109.9124,82.76,81,20,10.54,MX,1697434588
192,Tazovsky,67.4667,78.7,34.61,84,100,10.71,RU,1697434599
193,Rurrenabaque,-14.4413,-67.5278,76.12,63,33,1.57,BO,1697434600
194,Prince Rupert,54.3161,-130.3201,53.29,95,75,9.22,CA,1697434537
195,Morada Nova,-5.1067,-38.3725,75.81,70,53,6.13,BR,1697434601
196,Reggane,26.7158,0.1714,76.06,20,10,7.18,DZ,1697434601
197,Chamdo,31.1667,97.2333,49.6,30,32,8.05,CN,1697434602
198,Price,39.5994,-110.8107,50.11,37,0,9.22,US,1697434602
199,Palu,-0.8917,119.8707,89.46,63,17,3.2,ID,1697434603
200,Tôlanaro,-25.0319,46.9987,75.27,73,75,3.44,MG,1697434603
201,Selfoss,63.9331,-20.9971,42.04,92,100,5.75,IS,1697434604
202,Ubinskoye,55.3068,79.6802,47.39,50,96,16.28,RU,1697434604
203,Ust-Nera,64.5667,143.2,8.22,95,35,5.99,RU,1697434604
